id,backbone_id
128834,1680490
62421,1680490
73081,1680490
73093,1680490
73100,1680490
73101,1680490
82855,1680490
82864,1680490
86687,1680490
87072,1680490
117502,1680490
117552,1680490
118788,9705453
10562,1680490
10563,1680490
10566,1680490
10567,1680490
10569,1680490
10571,1680490
10573,1680490
119201,1680490
119249,1680490
85525,1680490
130187,1680490
31553,1680490
85562,1680490
89106,1680490
89108,1680490
56191,1680490
129775,1680490
129798,1680490
80980,1680490
130410,1680490
82874,1680490
10553,1680490
10555,1680490
82875,1680490
82867,1680490
91957,1680490
92106,1680490
129761,1680490
194222,1680490
10559,1680490
10561,1680490
27361,1680490
61698,1680490
61699,1680490
61700,1680490
75067,1680490
10526,1680490
23302,1680490
82765,1680490
82834,1680490
117536,1680490
117544,1680490
56062,9705453
61703,1680490
79252,1680490
79254,1680490
82837,1680490
82854,1680490
117547,1680490
56121,1680490
117548,1680490
56139,1680490
61878,1680490
10576,1680490
45076,1680490
56122,1680490
117550,1680490
117562,1680490
82856,1680490
117566,1680490
117581,1680490
117582,1680490
117590,1680490
57168,1680490
117505,1680490
117551,1680490
117558,1680490
58496,1680490
71167,1680490
117567,1680490
117569,1680490
117571,1680490
117572,1680490
117504,1680490
117507,1680490
117508,1680490
71164,1680490
117556,1680490
71165,1680490
71166,1680490
71297,1680490
117557,1680490
117568,1680490
117486,1680490
12690,1680490
117491,1680490
117492,1680490
117501,1680490
117503,1680490
117555,1680490
117564,1680490
117475,1680490
12673,1680490
117476,1680490
117477,1680490
117481,1680490
117483,1680490
117565,1680490
53830,8014043
117472,1680490
117473,1680490
62707,1325561
74376,4469408
76668,1050187
58197,7199699
151035,7199699
186852,7199699
82010,7199699
82282,7199699
116414,9422124
75023,4443622
43843,4447054
116415,9422124
114677,1007266
60447,5782886
108532,5783059
31427,5782896
31483,5782886
34517,5782895
34562,5782883
45225,5782886
45262,10691750
47154,5782888
81514,5782893
191496,4597942
23556,4597942
31405,4597942
32460,5782891
32735,9112395
34335,5782891
35657,5782877
35786,5782892
7273,4597942
10766,4597942
31477,4597942
33521,4597942
34549,4597942
35310,4597942
61443,9705453
61395,9705453
62400,9705453
62401,9705453
30269,9705453
32515,9705453
193258,9705453
61967,9705453
62191,9705453
62773,9705453
30153,9705453
30154,9705453
30170,9705453
30187,9705453
30201,9705453
30236,9705453
189800,9705453
30267,9705453
30270,9705453
30299,9705453
30300,9705453
30301,9705453
30302,9705453
30303,9705453
30304,9705453
58048,9705453
58457,9705453
160014,9705453
161888,9705453
193344,9705453
4253,9705453
20842,9705453
22711,9705453
22712,9705453
42153,9705453
47083,9705453
